# layer_id eta phi delta_eta delta_phi rmin rmax
L 3 -1.0 1.0 40 -3.11704896 3.11704896 254 1926.0 1980.0
C 3 -0.975 2.85934019 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi243 0 243
C 3 -0.975 2.88388388 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi244 0 244
C 3 -0.975 2.90842757 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi245 0 245
C 3 -0.975 2.93297127 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi246 0 246
C 3 -0.975 2.95751496 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi247 0 247
C 3 -0.975 2.98205865 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi248 0 248
C 3 -0.975 3.00660234 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi249 0 249
C 3 -0.975 3.03114604 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi250 0 250
C 3 -0.975 3.05568973 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi251 0 251
C 3 -0.975 3.08023342 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi252 0 252
C 3 -0.975 3.10477711 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi253 0 253
C 3 -0.925 -3.10477711 0.05 0.02454369 1926.0 1980.0 layer3_eta1_phi0 1 0
C 3 -0.925 -3.08023342 0.05 0.02454369 1926.0 1980.0 layer3_eta1_phi1 1 1
C 3 -0.925 -3.05568973 0.05 0.02454369 1926.0 1980.0 layer3_eta1_phi2 1 2
C 3 -0.925 -3.03114604 0.05 0.02454369 1926.0 1980.0 layer3_eta1_phi3 1 3
C 3 -0.925 -3.00660234 0.05 0.02454369 1926.0 1980.0 layer3_eta1_phi4 1 4
C 3 -0.925 -2.98205865 0.05 0.02454369 1926.0 1980.0 layer3_eta1_phi5 1 5
C 3 -0.925 -2.95751496 0.05 0.02454369 1926.0 1980.0 layer3_eta1_phi6 1 6
C 3 -0.925 -2.93297127 0.05 0.02454369 1926.0 1980.0 layer3_eta1_phi7 1 7
C 3 -0.925 -2.90842757 0.05 0.02454369 1926.0 1980.0 layer3_eta1_phi8 1 8
C 3 -0.925 -2.88388388 0.05 0.02454369 1926.0 1980.0 layer3_eta1_phi9 1 9
C 3 -0.925 -2.85934019 0.05 0.02454369 1926.0 1980.0 layer3_eta1_phi10 1 10
