# layer_id eta phi delta_eta delta_phi rmin rmax
L 4 -0.8 0.8 16 -3.14159265 3.14159265 64 2280 2680
C 4 -0.55 -1.03083509 0.1 0.09817477 2280 2680 layer4_eta2_phi21 2 21
C 4 -0.55 -0.93266032 0.1 0.09817477 2280 2680 layer4_eta2_phi22 2 22
C 4 -0.55 -0.83448555 0.1 0.09817477 2280 2680 layer4_eta2_phi23 2 23
C 4 -0.55 -0.73631078 0.1 0.09817477 2280 2680 layer4_eta2_phi24 2 24
C 4 -0.55 -0.63813601 0.1 0.09817477 2280 2680 layer4_eta2_phi25 2 25
C 4 -0.55 -0.53996124 0.1 0.09817477 2280 2680 layer4_eta2_phi26 2 26
C 4 -0.55 -0.44178647 0.1 0.09817477 2280 2680 layer4_eta2_phi27 2 27
C 4 -0.55 -0.3436117 0.1 0.09817477 2280 2680 layer4_eta2_phi28 2 28
C 4 -0.55 -0.24543693 0.1 0.09817477 2280 2680 layer4_eta2_phi29 2 29
C 4 -0.55 -0.14726216 0.1 0.09817477 2280 2680 layer4_eta2_phi30 2 30
C 4 -0.55 -0.04908739 0.1 0.09817477 2280 2680 layer4_eta2_phi31 2 31
C 4 -0.55 0.04908739 0.1 0.09817477 2280 2680 layer4_eta2_phi32 2 32
C 4 -0.55 0.14726216 0.1 0.09817477 2280 2680 layer4_eta2_phi33 2 33
C 4 -0.55 0.24543693 0.1 0.09817477 2280 2680 layer4_eta2_phi34 2 34
C 4 -0.55 0.3436117 0.1 0.09817477 2280 2680 layer4_eta2_phi35 2 35
C 4 -0.55 0.44178647 0.1 0.09817477 2280 2680 layer4_eta2_phi36 2 36
C 4 -0.55 0.53996124 0.1 0.09817477 2280 2680 layer4_eta2_phi37 2 37
C 4 -0.55 0.63813601 0.1 0.09817477 2280 2680 layer4_eta2_phi38 2 38
C 4 -0.55 0.73631078 0.1 0.09817477 2280 2680 layer4_eta2_phi39 2 39
C 4 -0.55 0.83448555 0.1 0.09817477 2280 2680 layer4_eta2_phi40 2 40
C 4 -0.55 0.93266032 0.1 0.09817477 2280 2680 layer4_eta2_phi41 2 41
C 4 -0.55 1.03083509 0.1 0.09817477 2280 2680 layer4_eta2_phi42 2 42
C 4 -0.55 1.12900986 0.1 0.09817477 2280 2680 layer4_eta2_phi43 2 43
C 4 -0.55 1.22718463 0.1 0.09817477 2280 2680 layer4_eta2_phi44 2 44
C 4 -0.55 1.3253594 0.1 0.09817477 2280 2680 layer4_eta2_phi45 2 45
C 4 -0.55 1.42353417 0.1 0.09817477 2280 2680 layer4_eta2_phi46 2 46
C 4 -0.55 1.52170894 0.1 0.09817477 2280 2680 layer4_eta2_phi47 2 47
C 4 -0.55 1.61988371 0.1 0.09817477 2280 2680 layer4_eta2_phi48 2 48
C 4 -0.55 1.71805848 0.1 0.09817477 2280 2680 layer4_eta2_phi49 2 49
C 4 -0.55 1.81623325 0.1 0.09817477 2280 2680 layer4_eta2_phi50 2 50
C 4 -0.55 1.91440802 0.1 0.09817477 2280 2680 layer4_eta2_phi51 2 51
C 4 -0.55 2.01258279 0.1 0.09817477 2280 2680 layer4_eta2_phi52 2 52
C 4 -0.55 2.11075756 0.1 0.09817477 2280 2680 layer4_eta2_phi53 2 53
C 4 -0.55 2.20893233 0.1 0.09817477 2280 2680 layer4_eta2_phi54 2 54
C 4 -0.55 2.3071071 0.1 0.09817477 2280 2680 layer4_eta2_phi55 2 55
C 4 -0.55 2.40528188 0.1 0.09817477 2280 2680 layer4_eta2_phi56 2 56
C 4 -0.55 2.50345665 0.1 0.09817477 2280 2680 layer4_eta2_phi57 2 57
C 4 -0.55 2.60163142 0.1 0.09817477 2280 2680 layer4_eta2_phi58 2 58
C 4 -0.55 2.69980619 0.1 0.09817477 2280 2680 layer4_eta2_phi59 2 59
C 4 -0.55 2.79798096 0.1 0.09817477 2280 2680 layer4_eta2_phi60 2 60
C 4 -0.55 2.89615573 0.1 0.09817477 2280 2680 layer4_eta2_phi61 2 61
C 4 -0.55 2.9943305 0.1 0.09817477 2280 2680 layer4_eta2_phi62 2 62
C 4 -0.55 3.09250527 0.1 0.09817477 2280 2680 layer4_eta2_phi63 2 63
C 4 -0.45 -3.09250527 0.1 0.09817477 2280 2680 layer4_eta3_phi0 3 0
C 4 -0.45 -2.9943305 0.1 0.09817477 2280 2680 layer4_eta3_phi1 3 1
C 4 -0.45 -2.89615573 0.1 0.09817477 2280 2680 layer4_eta3_phi2 3 2
C 4 -0.45 -2.79798096 0.1 0.09817477 2280 2680 layer4_eta3_phi3 3 3
C 4 -0.45 -2.69980619 0.1 0.09817477 2280 2680 layer4_eta3_phi4 3 4
C 4 -0.45 -2.60163142 0.1 0.09817477 2280 2680 layer4_eta3_phi5 3 5
C 4 -0.45 -2.50345665 0.1 0.09817477 2280 2680 layer4_eta3_phi6 3 6
C 4 -0.45 -2.40528188 0.1 0.09817477 2280 2680 layer4_eta3_phi7 3 7
C 4 -0.45 -2.3071071 0.1 0.09817477 2280 2680 layer4_eta3_phi8 3 8
C 4 -0.45 -2.20893233 0.1 0.09817477 2280 2680 layer4_eta3_phi9 3 9
C 4 -0.45 -2.11075756 0.1 0.09817477 2280 2680 layer4_eta3_phi10 3 10
C 4 -0.45 -2.01258279 0.1 0.09817477 2280 2680 layer4_eta3_phi11 3 11
C 4 -0.45 -1.91440802 0.1 0.09817477 2280 2680 layer4_eta3_phi12 3 12
C 4 -0.45 -1.81623325 0.1 0.09817477 2280 2680 layer4_eta3_phi13 3 13
C 4 -0.45 -1.71805848 0.1 0.09817477 2280 2680 layer4_eta3_phi14 3 14
C 4 -0.45 -1.61988371 0.1 0.09817477 2280 2680 layer4_eta3_phi15 3 15
C 4 -0.45 -1.52170894 0.1 0.09817477 2280 2680 layer4_eta3_phi16 3 16
C 4 -0.45 -1.42353417 0.1 0.09817477 2280 2680 layer4_eta3_phi17 3 17
C 4 -0.45 -1.3253594 0.1 0.09817477 2280 2680 layer4_eta3_phi18 3 18
C 4 -0.45 -1.22718463 0.1 0.09817477 2280 2680 layer4_eta3_phi19 3 19
C 4 -0.45 -1.12900986 0.1 0.09817477 2280 2680 layer4_eta3_phi20 3 20
C 4 -0.45 -1.03083509 0.1 0.09817477 2280 2680 layer4_eta3_phi21 3 21
C 4 -0.45 -0.93266032 0.1 0.09817477 2280 2680 layer4_eta3_phi22 3 22
C 4 -0.45 -0.83448555 0.1 0.09817477 2280 2680 layer4_eta3_phi23 3 23
C 4 -0.45 -0.73631078 0.1 0.09817477 2280 2680 layer4_eta3_phi24 3 24
C 4 -0.45 -0.63813601 0.1 0.09817477 2280 2680 layer4_eta3_phi25 3 25
C 4 -0.45 -0.53996124 0.1 0.09817477 2280 2680 layer4_eta3_phi26 3 26
C 4 -0.45 -0.44178647 0.1 0.09817477 2280 2680 layer4_eta3_phi27 3 27
C 4 -0.45 -0.3436117 0.1 0.09817477 2280 2680 layer4_eta3_phi28 3 28
C 4 -0.45 -0.24543693 0.1 0.09817477 2280 2680 layer4_eta3_phi29 3 29
C 4 -0.45 -0.14726216 0.1 0.09817477 2280 2680 layer4_eta3_phi30 3 30
C 4 -0.45 -0.04908739 0.1 0.09817477 2280 2680 layer4_eta3_phi31 3 31
C 4 -0.45 0.04908739 0.1 0.09817477 2280 2680 layer4_eta3_phi32 3 32
C 4 -0.45 0.14726216 0.1 0.09817477 2280 2680 layer4_eta3_phi33 3 33
C 4 -0.45 0.24543693 0.1 0.09817477 2280 2680 layer4_eta3_phi34 3 34
C 4 -0.45 0.3436117 0.1 0.09817477 2280 2680 layer4_eta3_phi35 3 35
C 4 -0.45 0.44178647 0.1 0.09817477 2280 2680 layer4_eta3_phi36 3 36
C 4 -0.45 0.53996124 0.1 0.09817477 2280 2680 layer4_eta3_phi37 3 37
C 4 -0.45 0.63813601 0.1 0.09817477 2280 2680 layer4_eta3_phi38 3 38
C 4 -0.45 0.73631078 0.1 0.09817477 2280 2680 layer4_eta3_phi39 3 39
C 4 -0.45 0.83448555 0.1 0.09817477 2280 2680 layer4_eta3_phi40 3 40
C 4 -0.45 0.93266032 0.1 0.09817477 2280 2680 layer4_eta3_phi41 3 41
C 4 -0.45 1.03083509 0.1 0.09817477 2280 2680 layer4_eta3_phi42 3 42
C 4 -0.45 1.12900986 0.1 0.09817477 2280 2680 layer4_eta3_phi43 3 43
C 4 -0.45 1.22718463 0.1 0.09817477 2280 2680 layer4_eta3_phi44 3 44
C 4 -0.45 1.3253594 0.1 0.09817477 2280 2680 layer4_eta3_phi45 3 45
C 4 -0.45 1.42353417 0.1 0.09817477 2280 2680 layer4_eta3_phi46 3 46
C 4 -0.45 1.52170894 0.1 0.09817477 2280 2680 layer4_eta3_phi47 3 47
C 4 -0.45 1.61988371 0.1 0.09817477 2280 2680 layer4_eta3_phi48 3 48
C 4 -0.45 1.71805848 0.1 0.09817477 2280 2680 layer4_eta3_phi49 3 49
C 4 -0.45 1.81623325 0.1 0.09817477 2280 2680 layer4_eta3_phi50 3 50
C 4 -0.45 1.91440802 0.1 0.09817477 2280 2680 layer4_eta3_phi51 3 51
C 4 -0.45 2.01258279 0.1 0.09817477 2280 2680 layer4_eta3_phi52 3 52
C 4 -0.45 2.11075756 0.1 0.09817477 2280 2680 layer4_eta3_phi53 3 53
C 4 -0.45 2.20893233 0.1 0.09817477 2280 2680 layer4_eta3_phi54 3 54
C 4 -0.45 2.3071071 0.1 0.09817477 2280 2680 layer4_eta3_phi55 3 55
C 4 -0.45 2.40528188 0.1 0.09817477 2280 2680 layer4_eta3_phi56 3 56
C 4 -0.45 2.50345665 0.1 0.09817477 2280 2680 layer4_eta3_phi57 3 57
C 4 -0.45 2.60163142 0.1 0.09817477 2280 2680 layer4_eta3_phi58 3 58
C 4 -0.45 2.69980619 0.1 0.09817477 2280 2680 layer4_eta3_phi59 3 59
C 4 -0.45 2.79798096 0.1 0.09817477 2280 2680 layer4_eta3_phi60 3 60
C 4 -0.45 2.89615573 0.1 0.09817477 2280 2680 layer4_eta3_phi61 3 61
C 4 -0.45 2.9943305 0.1 0.09817477 2280 2680 layer4_eta3_phi62 3 62
C 4 -0.45 3.09250527 0.1 0.09817477 2280 2680 layer4_eta3_phi63 3 63
C 4 -0.35 -3.09250527 0.1 0.09817477 2280 2680 layer4_eta4_phi0 4 0
C 4 -0.35 -2.9943305 0.1 0.09817477 2280 2680 layer4_eta4_phi1 4 1
C 4 -0.35 -2.89615573 0.1 0.09817477 2280 2680 layer4_eta4_phi2 4 2
C 4 -0.35 -2.79798096 0.1 0.09817477 2280 2680 layer4_eta4_phi3 4 3
C 4 -0.35 -2.69980619 0.1 0.09817477 2280 2680 layer4_eta4_phi4 4 4
C 4 -0.35 -2.60163142 0.1 0.09817477 2280 2680 layer4_eta4_phi5 4 5
C 4 -0.35 -2.50345665 0.1 0.09817477 2280 2680 layer4_eta4_phi6 4 6
C 4 -0.35 -2.40528188 0.1 0.09817477 2280 2680 layer4_eta4_phi7 4 7
C 4 -0.35 -2.3071071 0.1 0.09817477 2280 2680 layer4_eta4_phi8 4 8
C 4 -0.35 -2.20893233 0.1 0.09817477 2280 2680 layer4_eta4_phi9 4 9
C 4 -0.35 -2.11075756 0.1 0.09817477 2280 2680 layer4_eta4_phi10 4 10
