# layer_id eta phi delta_eta delta_phi rmin rmax
L 1 -1.196 1.196 736 -3.14159265 3.14159265 64 1500 1596.0
C 1 -1.184625 1.71805848 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi49 3 49
C 1 -1.184625 1.81623325 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi50 3 50
C 1 -1.184625 1.91440802 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi51 3 51
C 1 -1.184625 2.01258279 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi52 3 52
C 1 -1.184625 2.11075756 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi53 3 53
C 1 -1.184625 2.20893233 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi54 3 54
C 1 -1.184625 2.3071071 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi55 3 55
C 1 -1.184625 2.40528188 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi56 3 56
C 1 -1.184625 2.50345665 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi57 3 57
C 1 -1.184625 2.60163142 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi58 3 58
C 1 -1.184625 2.69980619 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi59 3 59
C 1 -1.184625 2.79798096 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi60 3 60
C 1 -1.184625 2.89615573 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi61 3 61
C 1 -1.184625 2.9943305 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi62 3 62
C 1 -1.184625 3.09250527 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi63 3 63
C 1 -1.181375 -3.09250527 0.00325 0.09817477 1500 1596.0 layer1_eta4_phi0 4 0
C 1 -1.181375 -2.9943305 0.00325 0.09817477 1500 1596.0 layer1_eta4_phi1 4 1
C 1 -1.181375 -2.89615573 0.00325 0.09817477 1500 1596.0 layer1_eta4_phi2 4 2
C 1 -1.181375 -2.79798096 0.00325 0.09817477 1500 1596.0 layer1_eta4_phi3 4 3
C 1 -1.181375 -2.69980619 0.00325 0.09817477 1500 1596.0 layer1_eta4_phi4 4 4
C 1 -1.181375 -2.60163142 0.00325 0.09817477 1500 1596.0 layer1_eta4_phi5 4 5
C 1 -1.181375 -2.50345665 0.00325 0.09817477 1500 1596.0 layer1_eta4_phi6 4 6
C 1 -1.181375 -2.40528188 0.00325 0.09817477 1500 1596.0 layer1_eta4_phi7 4 7
C 1 -1.181375 -2.3071071 0.00325 0.09817477 1500 1596.0 layer1_eta4_phi8 4 8
